"Story","Title","Result","Date","Stability","Duration (s)"
"Create user data driven test","Data Driven Test for adding multiple users to the application","FAILURE","2023-06-06T21:20:40.057+01:00[Europe/London]","0.0","269.15"
"User CRUD test","This will create a new User","SUCCESS","2023-06-06T21:20:45.170+01:00[Europe/London]","0.0","2.0"
"User CRUD test","Verify if the User is added to application","SUCCESS","2023-06-06T21:20:47.170+01:00[Europe/London]","0.0","0.81"
"User CRUD test","Update the student information and verify the updated information","SUCCESS","2023-06-06T21:20:47.982+01:00[Europe/London]","0.0","1.09"
"User CRUD test","This will delete student and verify that student is deleted","SUCCESS","2023-06-06T21:20:49.070+01:00[Europe/London]","0.0","1.23"
